morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
12	1.6752	0.138	0.1427	0.1661	0.1662	0.1544	0.1778	0.1591	0.1638	0.1427	0.1451	0.131	0.1053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5568
12	1.915	0.154	0.2038	0.2086	0.2156	0.2062	0.1991	0.1919	0.1921	0.1754	0.154	0.1659	0.1279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5404
13	1.8663	0.1501	0.179	0.2	0.2028	0.1974	0.2026	0.1922	0.1869	0.1738	0.1632	0.1606	0.1421	0.1237	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6002
13	2.2212	0.1726	0.2026	0.2275	0.23	0.2273	0.2273	0.2247	0.2164	0.1917	0.1971	0.1753	0.1589	0.1451	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7068
13	1.8807	0.1676	0.1733	0.2022	0.2109	0.1964	0.2109	0.1936	0.1936	0.1762	0.1762	0.156	0.1473	0.1184	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6298
13	1.6877	0.149	0.1461	0.1633	0.1719	0.1691	0.1748	0.1748	0.169	0.1491	0.1519	0.1375	0.1204	0.1031	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4384
13	1.8718	0.1488	0.1768	0.1992	0.1964	0.202	0.1965	0.1908	0.188	0.174	0.1628	0.1488	0.1375	0.1179	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4378
13	2.1123	0.1797	0.1834	0.2164	0.2054	0.2054	0.1907	0.2017	0.1797	0.176	0.1504	0.143	0.1467	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4914
13	2.1535	0.1699	0.1867	0.2208	0.2106	0.2004	0.2106	0.1936	0.18	0.1902	0.1766	0.1495	0.1393	0.1359	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6317
13	2.0796	0.1636	0.1887	0.2045	0.217	0.195	0.2203	0.1856	0.2045	0.1699	0.1761	0.1699	0.1447	0.1258	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5537
13	1.9469	0.1536	0.1679	0.1936	0.1907	0.1964	0.1821	0.1822	0.1765	0.185	0.1594	0.1594	0.1167	0.1195	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5067
