	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-117175" 13 2.526 0.307 0.2739 0.287 0.2785 0.2784 0.2756 0.2613 0.2411 0.2444 0.195 0.1993 0.1592 0.1561 0.51
"AMNH-FI-117176" 13 3.7099 0.435 0.4048 0.4278 0.4315 0.4227 0.408 0.4149 0.411 0.3596 0.3549 0.3224 0.2834 0.2425 1.0995
"AMNH-FI-117177" 13 3.937 0.4486 0.4174 0.4223 0.4274 0.4133 0.4114 0.4085 0.4009 0.3526 0.3485 0.3113 0.2821 0.2575 1.0807
"AMNH-FI-117183" 13 8.4827 0.9083 1.0204 0.9794 0.9945 0.9756 0.9665 0.9496 0.9318 0.8654 0.8413 0.8164 0.716 0.7283 2.9455
"AMNH-FI-117193" 13 8.3829 0.9614 0.9124 0.9872 1.0124 0.9976 0.9881 0.9963 0.9499 0.923 0.8543 0.7842 0.7478 0.7018 3.2959
"AMNH-FI-117253" 13 12.7558 1.555 1.5131 1.5615 1.552 1.549 1.551 1.5736 1.447 1.3022 1.2967 1.2539 1.2305 1.2221 5.7047
"AMNH-FI-117257" 13 4.9164 0.5445 0.5318 0.5834 0.591 0.5521 0.5689 0.5386 0.5538 0.509 0.4956 0.4815 0.3976 0.3897 1.9679
"AMNH-FI-115663" 12 2.2013 0.2358 0.2674 0.2314 0.2604 0.2595 0.2254 0.2538 0.2401 0.2091 0.185 0.1668 0.1544 NA 0.6293
"AMNH-FI-116768" 12 2.053 0.2364 0.2685 0.2305 0.2547 0.2288 0.2289 0.2049 0.1957 0.1753 0.1559 0.1444 0.1245 NA 0.4242
"AMNH-FI-116735" 12 2.0883 0.2488 0.2469 0.2448 0.2358 0.2555 0.2241 0.2117 0.2087 0.1904 0.1758 0.1481 0.1198 NA 0.4523
"AMNH-FI-117169" 12 1.9782 0.229 0.1662 0.2338 0.2593 0.2467 0.234 0.2111 0.2048 0.1751 0.1667 0.1436 0.1125 NA 0.4722
"AMNH-FI-117178" 12 2.114 0.2331 0.2279 0.2482 0.2378 0.2358 0.2279 0.2119 0.2002 0.1894 0.1542 0.1496 0.1373 NA 0.4138
"AMNH-FI-117196" 12 2.0151 0.2495 0.2385 0.2301 0.2324 0.2315 0.2176 0.2016 0.2015 0.175 0.1633 0.1326 0.1269 NA 0.4568
"AMNH-FI-115599" 11 2.0012 0.2318 0.227 0.2311 0.2332 0.2272 0.2205 0.2046 0.1746 0.1886 0.16 0.1371 NA NA 0.5335
"AMNH-FI-115602" 11 2.003 0.2388 0.2188 0.2437 0.2243 0.23 0.2308 0.2007 0.1888 0.194 0.1209 0.1483 NA NA 0.459
"AMNH-FI-115611" 11 2.0411 0.2563 0.2231 0.2417 0.2264 0.2197 0.2222 0.2056 0.1911 0.1828 0.1615 0.1389 NA NA 0.4261
"AMNH-FI-115638" 11 2.1775 0.238 0.2739 0.266 0.2485 0.2569 0.2327 0.1996 0.2061 0.1913 0.1607 0.1357 NA NA 0.5753
"AMNH-FI-115731" 11 2.134 0.2332 0.235 0.2328 0.2303 0.2538 0.2284 0.2092 0.1865 0.1862 0.1652 0.1557 NA NA 0.5185
"AMNH-FI-115762" 11 1.8499 0.2273 0.2109 0.2134 0.2446 0.2099 0.207 0.1983 0.1688 0.1681 0.1497 0.1282 NA NA 0.3803
"AMNH-FI-115559" 10 1.703 0.2068 0.2026 0.2246 0.2083 0.2044 0.1927 0.1786 0.1518 0.1402 0.1216 NA NA NA 0.4746
"AMNH-FI-115627" 10 1.7558 0.1805 0.2655 0.2012 0.2202 0.2189 0.2014 0.165 0.1725 0.1472 0.167 NA NA NA 0.5445
"AMNH-FI-115751" 10 1.715 0.1796 0.2151 0.1897 0.2184 0.1901 0.1913 0.1847 0.1628 0.1434 0.1213 NA NA NA 0.468
"AMNH-FI-117179" 10 1.8451 0.2109 0.2056 0.2127 0.2037 0.2028 0.1989 0.1876 0.17 0.1408 0.1564 NA NA NA 0.5134
"AMNH-FI-115618" 9 1.6357 0.2034 0.1875 0.1814 0.1825 0.1824 0.1771 0.158 0.1631 0.1311 NA NA NA NA 0.3936
"AMNH-FI-116834" 9 1.5279 0.1653 0.1806 0.1784 0.1679 0.1766 0.1548 0.1571 0.1362 0.1275 NA NA NA NA 0.4169
"AMNH-FI-115719" 10 1.775 0.2334 0.2005 0.2206 0.2045 0.1928 0.1951 0.1778 0.1667 0.1451 0.1215 NA NA NA 0.4376
"AMNH-FI-117184" 9 1.6773 0.1771 0.1936 0.1973 0.1944 0.1928 0.1763 0.17 0.1587 0.1313 NA NA NA NA 0.5511
"AMNH-FI-117210" 9 1.6094 0.1913 0.1819 0.2057 0.1819 0.1917 0.1687 0.1585 0.1552 0.1328 NA NA NA NA 0.5013
"AMNH-FI-115616" 8 1.3006 0.1843 0.1773 0.1661 0.1692 0.151 0.1521 0.1352 0.1177 NA NA NA NA NA 0.4652
"AMNH-FI-115556" 7 1.258 0.0866 0.1539 0.1566 0.1526 0.1458 0.138 0.1232 NA NA NA NA NA NA 0.466
"AMNH-FI-115557" 7 1.1969 0.1605 0.1595 0.1494 0.1466 0.1534 0.1281 0.1227 NA NA NA NA NA NA 0.4772
"AMNH-FI-115649" 8 1.3742 0.1717 0.1742 0.1693 0.171 0.1651 0.1401 0.1452 0.1286 NA NA NA NA NA 0.4421
"AMNH-FI-115682" 8 1.342 0.1764 0.1699 0.169 0.1522 0.1487 0.1457 0.1415 0.1105 NA NA NA NA NA 0.4315
"AMNH-FI-115709" 8 1.4228 0.1704 0.1681 0.1796 0.1812 0.1555 0.1584 0.1431 0.1228 NA NA NA NA NA 0.4847
"AMNH-FI-115728" 8 1.427 0.1716 0.1701 0.163 0.1716 0.1643 0.1524 0.1378 0.1397 NA NA NA NA NA 0.4956
"AMNH-FI-116742" 8 1.3414 0.1577 0.1607 0.1591 0.1675 0.1613 0.142 0.145 0.1151 NA NA NA NA NA 0.5025
"AMNH-FI-115667" 7 1.2072 0.157 0.1404 0.1526 0.1612 0.0991 0.1124 0.1263 NA NA NA NA NA NA 0.4525
"AMNH-FI-116764" 6 1.0911 0.1534 0.1442 0.1489 0.139 0.1265 0.1231 NA NA NA NA NA NA NA 0.458
